seqid,source,type,start,end,score,strand,phase,attributes,Bd_1_20,Bd_1_29,Bd_2_20,Bd_2_29,Bd_4_20,Bd_4_29,Bd_5_20,Bd_5_29
NODE_103_length_12171_cov_147.088804,KBase,gene,6524,8310,.,+,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_7; product=dihydroxy-acid dehydratase %5BEC:4.2.1.9%5D; ko=KO:K01687,0,0,4,0,0,0,0,2
NODE_103_length_12171_cov_147.088804,KBase,gene,8628,9916,.,+,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_8; product=,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,9848,10737,.,-,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_10; product=,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,9996,10726,.,+,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_9; product=uncharacterized protein; ko=KO:K07090,0,0,0,0,0,0,0,0
NODE_103_length_12171_cov_147.088804,KBase,gene,11298,11734,.,-,0,ID=AcalSPAdes.Assembly_NODE_103_length_12171_cov_147.088804_11; product=,0,0,0,0,2,0,0,4
NODE_104_length_12098_cov_149.749771,KBase,gene,-1511,2,.,-,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_1; product=,0,0,0,0,0,0,0,0
NODE_104_length_12098_cov_149.749771,KBase,gene,-415,1665,.,-,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_2; product=twitching motility protein PilJ; ko=KO:K02660,0,0,0,0,0,0,0,0
NODE_104_length_12098_cov_149.749771,KBase,gene,3254,3789,.,-,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_3; product=twitching motility protein PilI; ko=KO:K02659,0,0,0,2,0,0,0,0
NODE_104_length_12098_cov_149.749771,KBase,gene,4024,4385,.,-,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_4; product=twitching motility two-component system response regulator PilH; ko=KO:K02658,0,0,0,0,0,0,0,0
NODE_104_length_12098_cov_149.749771,KBase,gene,4389,4771,.,-,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_5; product=twitching motility two-component system response regulator PilG; ko=KO:K02657,0,0,0,0,0,0,0,0
NODE_104_length_12098_cov_149.749771,KBase,gene,5440,6077,.,+,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_6; product=,0,0,0,0,0,0,0,0
NODE_104_length_12098_cov_149.749771,KBase,gene,6138,7255,.,+,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_7; product=,0,0,0,0,0,0,0,0
NODE_104_length_12098_cov_149.749771,KBase,gene,7272,10369,.,+,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_8; product=hydrophobic/amphiphilic exporter-1 %28mainly G- bacteria%29%2C HAE1 family; ko=KO:K03296,0,0,0,0,0,0,2,4
NODE_104_length_12098_cov_149.749771,KBase,gene,10606,12095,.,+,0,ID=AcalSPAdes.Assembly_NODE_104_length_12098_cov_149.749771_9; product=prolyl-tRNA synthetase %5BEC:6.1.1.15%5D; ko=KO:K01881,0,0,4,0,0,0,0,0
NODE_105_length_11993_cov_151.563276,KBase,gene,-771,1,.,-,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_1; product=ATP-dependent Clp protease ATP-binding subunit ClpX; ko=KO:K03544,0,0,0,0,0,0,0,1
NODE_105_length_11993_cov_151.563276,KBase,gene,276,880,.,-,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_2; product=ATP-dependent Clp protease%2C protease subunit %5BEC:3.4.21.92%5D; ko=KO:K01358,0,0,0,0,0,0,0,0
NODE_105_length_11993_cov_151.563276,KBase,gene,346,1679,.,-,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_3; product=trigger factor; ko=KO:K03545,0,0,0,0,0,0,2,2
NODE_105_length_11993_cov_151.563276,KBase,gene,3428,5700,.,+,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_4; product=catecholate siderophore receptor; ko=KO:K16090,0,0,0,0,6,0,2,0
NODE_105_length_11993_cov_151.563276,KBase,gene,5807,6489,.,+,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_5; product=PKHD-type hydroxylase %5BEC:1.14.11.-%5D; ko=KO:K07336,0,0,0,0,0,0,0,0
NODE_105_length_11993_cov_151.563276,KBase,gene,6950,8646,.,+,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_6; product=2-isopropylmalate synthase %5BEC:2.3.3.13%5D; ko=KO:K01649,0,0,9,2,1,0,4,6
NODE_105_length_11993_cov_151.563276,KBase,gene,8731,9890,.,+,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_7; product=homoserine O-acetyltransferase/O-succinyltransferase %5BEC:2.3.1.31 2.3.1.46%5D; ko=KO:K00641,0,0,0,0,0,0,0,0
NODE_105_length_11993_cov_151.563276,KBase,gene,9891,10483,.,+,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_8; product=,0,0,0,1,0,0,2,2
NODE_105_length_11993_cov_151.563276,KBase,gene,10481,11067,.,+,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_9; product=uncharacterized protein; ko=KO:K07126,0,0,2,4,0,0,0,0
NODE_105_length_11993_cov_151.563276,KBase,gene,11243,11868,.,+,0,ID=AcalSPAdes.Assembly_NODE_105_length_11993_cov_151.563276_10; product=XTP/dITP diphosphohydrolase %5BEC:3.6.1.66%5D; ko=KO:K01519,0,0,0,0,2,0,0,0
NODE_106_length_11696_cov_148.135037,KBase,gene,1,914,.,+,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_1; product=,0,0,0,0,1,0,0,0
NODE_106_length_11696_cov_148.135037,KBase,gene,1095,1687,.,+,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_2; product=,0,0,0,0,0,0,0,0
NODE_106_length_11696_cov_148.135037,KBase,gene,1098,1789,.,-,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_3; product=,0,0,0,0,0,0,0,0
NODE_106_length_11696_cov_148.135037,KBase,gene,2659,3035,.,+,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_4; product=,0,0,0,0,0,0,0,0
NODE_106_length_11696_cov_148.135037,KBase,gene,3091,4505,.,+,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_5; product=,0,0,0,0,0,0,0,0
NODE_106_length_11696_cov_148.135037,KBase,gene,4509,5725,.,+,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_6; product=membrane fusion protein%2C heavy metal efflux system; ko=KO:K15727,0,0,0,0,1,0,0,0
NODE_106_length_11696_cov_148.135037,KBase,gene,5716,8873,.,+,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_7; product=heavy metal efflux system protein; ko=KO:K15726,0,0,0,0,2,0,2,0
NODE_106_length_11696_cov_148.135037,KBase,gene,9007,9950,.,+,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_8; product=cobalt-zinc-cadmium efflux system protein; ko=KO:K16264,0,0,0,0,0,0,4,0
NODE_106_length_11696_cov_148.135037,KBase,gene,9633,9970,.,-,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_9; product=,0,0,0,0,0,0,0,0
NODE_106_length_11696_cov_148.135037,KBase,gene,10583,11529,.,+,0,ID=AcalSPAdes.Assembly_NODE_106_length_11696_cov_148.135037_10; product=,0,0,0,0,0,0,0,0
NODE_107_length_11590_cov_147.175020,KBase,gene,-279,1,.,-,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_1; product=,0,0,0,0,0,0,0,0
NODE_107_length_11590_cov_147.175020,KBase,gene,-88,486,.,-,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_2; product=superoxide dismutase%2C Cu-Zn family %5BEC:1.15.1.1%5D; ko=KO:K04565,0,0,0,0,0,0,0,0
NODE_107_length_11590_cov_147.175020,KBase,gene,68,1185,.,-,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_3; product=,0,0,0,0,0,0,2,0
NODE_107_length_11590_cov_147.175020,KBase,gene,1833,2428,.,-,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_4; product=,0,0,0,0,0,0,0,1
NODE_107_length_11590_cov_147.175020,KBase,gene,3231,3697,.,+,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_5; product=,0,0,0,0,0,0,0,0
NODE_107_length_11590_cov_147.175020,KBase,gene,3837,4399,.,+,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_6; product=,0,0,0,0,0,0,0,0
NODE_107_length_11590_cov_147.175020,KBase,gene,3920,4452,.,-,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_7; product=,0,0,0,0,0,0,0,0
NODE_107_length_11590_cov_147.175020,KBase,gene,4225,5012,.,-,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_8; product=,0,0,0,0,0,0,0,0
NODE_107_length_11590_cov_147.175020,KBase,gene,5928,7204,.,+,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_9; product=,0,0,0,6,0,0,0,0
NODE_107_length_11590_cov_147.175020,KBase,gene,7619,9051,.,+,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_10; product=S-methylmethionine transporter; ko=KO:K16235,0,0,0,0,0,0,8,0
NODE_107_length_11590_cov_147.175020,KBase,gene,10085,11355,.,+,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_11; product=glutamate dehydrogenase %28NAD%28P%29%2B%29 %5BEC:1.4.1.3%5D; ko=KO:K00261,0,0,0,0,2,0,2,4
NODE_107_length_11590_cov_147.175020,KBase,gene,11493,11587,.,+,0,ID=AcalSPAdes.Assembly_NODE_107_length_11590_cov_147.175020_12; product=,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,1,506,.,+,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_1; product=,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,525,1555,.,+,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_2; product=arginine N-succinyltransferase %5BEC:2.3.1.109%5D; ko=KO:K00673,0,0,0,0,0,0,0,1
NODE_108_length_11499_cov_150.536684,KBase,gene,1556,3024,.,+,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_3; product=succinylglutamic semialdehyde dehydrogenase %5BEC:1.2.1.71%5D; ko=KO:K06447,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,3043,4385,.,+,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_4; product=succinylarginine dihydrolase %5BEC:3.5.3.23%5D; ko=KO:K01484,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,4399,5372,.,+,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_5; product=succinylglutamate desuccinylase %5BEC:3.5.1.96%5D; ko=KO:K05526,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,4587,5434,.,-,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_6; product=,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,6885,7192,.,+,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_7; product=,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,7229,8583,.,+,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_8; product=,0,0,0,0,2,0,8,0
NODE_108_length_11499_cov_150.536684,KBase,gene,8255,8685,.,-,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_9; product=,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,8681,9216,.,-,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_10; product=,0,0,0,0,2,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,9807,10702,.,+,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_11; product=LysR family transcriptional regulator%2C hypochlorite-specific transcription factor HypT; ko=KO:K21645,0,0,0,0,0,0,0,0
NODE_108_length_11499_cov_150.536684,KBase,gene,10031,10740,.,-,0,ID=AcalSPAdes.Assembly_NODE_108_length_11499_cov_150.536684_12; product=aspartate racemase %5BEC:5.1.1.13%5D; ko=KO:K01779,0,0,0,0,0,0,0,0
NODE_109_length_11452_cov_148.383736,KBase,gene,-444,1,.,-,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_1; product=,0,0,0,0,0,0,0,0
NODE_109_length_11452_cov_148.383736,KBase,gene,801,982,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_2; product=,0,0,0,0,0,0,2,0
NODE_109_length_11452_cov_148.383736,KBase,gene,980,1695,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_3; product=two-component system%2C OmpR family%2C response regulator RstA; ko=KO:K07661,0,0,2,0,0,0,0,0
NODE_109_length_11452_cov_148.383736,KBase,gene,1729,3377,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_4; product=two-component system%2C OmpR family%2C sensor histidine kinase RstB %5BEC:2.7.13.3%5D; ko=KO:K07639,0,0,1,0,0,0,2,1
NODE_109_length_11452_cov_148.383736,KBase,gene,2429,3846,.,-,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_6; product=,0,0,1,0,0,2,0,0
NODE_109_length_11452_cov_148.383736,KBase,gene,3049,3401,.,-,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_5; product=,0,0,0,0,0,0,0,0
NODE_109_length_11452_cov_148.383736,KBase,gene,5689,6239,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_7; product=NADH-quinone oxidoreductase subunit A %5BEC:7.1.1.2%5D; ko=KO:K00330,0,0,0,0,0,0,0,0
NODE_109_length_11452_cov_148.383736,KBase,gene,6247,6923,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_8; product=NADH-quinone oxidoreductase subunit B %5BEC:7.1.1.2%5D; ko=KO:K00331,0,0,0,0,0,0,2,0
NODE_109_length_11452_cov_148.383736,KBase,gene,7009,8795,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_9; product=NADH-quinone oxidoreductase subunit C/D %5BEC:7.1.1.2%5D; ko=KO:K13378,0,0,0,0,4,0,0,1
NODE_109_length_11452_cov_148.383736,KBase,gene,8810,9318,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_10; product=NADH-quinone oxidoreductase subunit E %5BEC:7.1.1.2%5D; ko=KO:K00334,0,0,0,0,0,0,0,1
NODE_109_length_11452_cov_148.383736,KBase,gene,9316,10646,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_11; product=NADH-quinone oxidoreductase subunit F %5BEC:7.1.1.2%5D; ko=KO:K00335,0,0,0,0,0,0,0,0
NODE_109_length_11452_cov_148.383736,KBase,gene,10660,11450,.,+,0,ID=AcalSPAdes.Assembly_NODE_109_length_11452_cov_148.383736_12; product=,0,0,0,0,0,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,-2118,175,.,-,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_1; product=phosphotransferase system%2C enzyme I%2C PtsP %5BEC:2.7.3.9%5D; ko=KO:K08484,0,0,0,0,0,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,2071,2555,.,-,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_2; product=putative %28di%29nucleoside polyphosphate hydrolase %5BEC:3.6.1.-%5D; ko=KO:K08311,0,0,0,0,0,0,0,2
NODE_10_length_60759_cov_148.946821,KBase,gene,3223,3872,.,+,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_3; product=,0,0,0,0,0,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,4072,5510,.,+,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_4; product=,0,0,0,0,5,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,5566,6308,.,+,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_5; product=sporulation-control protein; ko=KO:K06377,0,0,0,0,0,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,5839,6698,.,-,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_7; product=,0,0,0,0,0,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,6438,6688,.,+,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_6; product=,0,0,0,0,0,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,7427,7674,.,-,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_8; product=,0,0,0,0,0,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,8055,9583,.,+,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_9; product=3-isopropylmalate/%28R%29-2-methylmalate dehydratase large subunit %5BEC:4.2.1.33 4.2.1.35%5D; ko=KO:K01703,0,2,0,0,0,0,2,2
NODE_10_length_60759_cov_148.946821,KBase,gene,9603,10249,.,+,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_10; product=3-isopropylmalate/%28R%29-2-methylmalate dehydratase small subunit %5BEC:4.2.1.33 4.2.1.35%5D; ko=KO:K01704,0,0,0,0,2,0,0,2
NODE_10_length_60759_cov_148.946821,KBase,gene,10363,10952,.,+,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_11; product=,0,0,0,0,0,0,0,0
NODE_10_length_60759_cov_148.946821,KBase,gene,10987,12065,.,+,0,ID=AcalSPAdes.Assembly_NODE_10_length_60759_cov_148.946821_12; product=3-isopropylmalate dehydrogenase %5BEC:1.1.1.85%5D; ko=KO:K00052,1,0,0,0,6,0,0,0
